,paper_id,citing_paper_id,title,result_id,link,snippet,resources_title,resources_link,citation_count,cites_id,versions,cluster_id,full_citation,key_words,authors,pub_info,year
0,0,0,MicroPort: A general simulation platform for seaport container terminals,o4mmoriNu70J,https://www.sciencedirect.com/science/article/pii/S1474034611000796,"Seaport container terminals are essential nodes in sea cargo transportation networks. As such, the operational efficiency of container terminals in handling containers passing through them plays a critical role in a globalized world economy. Many models and …",no data,no data,86,13671676917955594659,4,13671676917955594659,"Sun, Zhuo, et al. ""MicroPort: A general simulation platform for seaport container terminals."" Advanced Engineering Informatics 26.1 (2012): 80-89.","['microport', 'general', 'simulation', 'platform', 'seaport', 'container', 'terminals']","Sun, Zhuo, et al.",Advanced Engineering Informatics 26.1 (2012): 80-89.,2012
1,1,0,Agent-based simulation of stakeholders relations: An approach to sustainable port and terminal management,p-ou00crS34J,https://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.132.7304&rep=rep1&type=pdf#page=119,"Port management is often faced with many vexing problems that are complex and difficult to define. Port policies are in some cases formed from idealized perspectives and market factors, with very little attention or understanding to stakeholder strategies. Stakeholder …",psu.edu,https://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.132.7304&rep=rep1&type=pdf#page=119,75,9100415059517958823,7,9100415059517958823,"Henesey, Lawrence, Theo Notteboom, and Paul Davidsson. ""Agent-based simulation of stakeholders relations: An approach to sustainable port and terminal management."" Multi-Agent Systems for Container Terminal Management 99 (2003).","['agentbased', 'simulation', 'stakeholders', 'relations', 'approach', 'sustainable', 'port', 'terminal', 'management']","Henesey, Lawrence, Theo Notteboom, and Paul Davidsson.",Multi-Agent Systems for Container Terminal Management 99 (2003).,2003
2,2,0,Agent based simulation architecture for evaluating operational policies in transshipping containers,bnLMKYOdJ9YJ,https://link.springer.com/article/10.1007/s10458-008-9044-y,"An agent based simulator for evaluating operational policies in the transshipment of containers in a container terminal is described. The simulation tool, called SimPort, is a decentralized approach to simulating managers and entities in a container terminal. Real …",sc.edu,https://jmvidal.cse.sc.edu/library/henesey09b.pdf,59,15431475834875834990,11,15431475834875834990,"Henesey, Lawrence, Paul Davidsson, and Jan A. Persson. ""Agent based simulation architecture for evaluating operational policies in transshipping containers."" Autonomous Agents and Multi-Agent Systems 18.2 (2009): 220-238.","['agent', 'based', 'simulation', 'architecture', 'evaluating', 'operational', 'policies', 'transshipping', 'containers']","Henesey, Lawrence, Paul Davidsson, and Jan A. Persson.",Autonomous Agents and Multi-Agent Systems 18.2 (2009): 220-238.,2009
3,3,0,Agent based simulation architecture for evaluating operational policies in transshipping containers,oXp7vE9e2RsJ,https://link.springer.com/chapter/10.1007/11872283_7,"An agent based simulator for evaluating operational policies in the transshipment of containers in a container terminal is described. The simulation tool, called SimPort, is a decentralized approach to simulating managers and entities in a container terminal. We use …",psu.edu,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.100.7221&rep=rep1&type=pdf,52,2006738805527902881,16,2006738805527902881,"Henesey, Lawrence, Paul Davidsson, and Jan A. Persson. ""Agent based simulation architecture for evaluating operational policies in transshipping containers."" German Conference on Multiagent System Technologies. Springer, Berlin, Heidelberg, 2006.","['agent', 'based', 'simulation', 'architecture', 'evaluating', 'operational', 'policies', 'transshipping', 'containers']","Henesey, Lawrence, Paul Davidsson, and Jan A. Persson.","German Conference on Multiagent System Technologies. Springer, Berlin, Heidelberg, 2006.",2006
4,4,0,Agent-based approaches to transport logistics,m6wq9uLSXOgJ,https://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.62.3271&rep=rep1&type=pdf,This paper provides a survey of existing research on agent-based approaches to transportation and traffic management. A framework for describing and assessing this work will be presented and systematically applied. We are mainly adopting a logistical …,psu.edu,https://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.62.3271&rep=rep1&type=pdf,43,16743489386891095195,4,16743489386891095195,"Davidsson, Paul, et al. ""Agent-based approaches to transport logistics."" Proceedings of the 3rd International Joint Conference on Autonomous Agents and Multiagent Systems AAMAS. 2004.","['agentbased', 'approaches', 'transport', 'logistics']","Davidsson, Paul, et al.",Proceedings of the 3rd International Joint Conference on Autonomous Agents and Multiagent Systems AAMAS. 2004.,2004
5,5,0,Simulation and the lean port environment,v7e1Dmpk43sJ,https://link.springer.com/article/10.1057/palgrave.mel.9100137,"This paper considers the applicability of simulation tools in the development of lean ports and lean ports networks. To achieve its objective the paper analyses how container terminal operations work, gives an introduction to simulation, and provides an insight how simulation …",no data,no data,32,8927089293054556095,6,8927089293054556095,"Casaca, Ana C. Paixao. ""Simulation and the lean port environment."" Maritime Economics & Logistics 7.3 (2005): 262-280.","['simulation', 'lean', 'port', 'environment']","Casaca, Ana C. Paixao.",Maritime Economics & Logistics 7.3 (2005): 262-280.,2005
6,6,0,A market-based approach to container port terminal management,sjtE2dT97mYJ,https://www.researchgate.net/profile/Ingo-Timm/publication/2844339_Agent_Technologies_in_Logistics/links/0deec51b1e4bf8687b000000/Agent-Technologies-in-Logistics.pdf#page=79,"In sea ports, the management of container terminal systems (CTS) is a decentralised, poorly structured, complex, and changeable problem domain [5][12]. The optimisation of the vessel turn around (time spent in port) is paramount to a port's performance and competitive …",researchgate.net,https://www.researchgate.net/profile/Ingo-Timm/publication/2844339_Agent_Technologies_in_Logistics/links/0deec51b1e4bf8687b000000/Agent-Technologies-in-Logistics.pdf#page=79,30,7417144726945807282,3,7417144726945807282,"Henesey, Larry, Fredrik Wernstedt, and Paul Davidsson. ""A market-based approach to container port terminal management."" Proceedings of the 15th European conference on artificial intelligence, Workshop—agent technologies in logistics, Lyon. 2002.","['marketbased', 'approach', 'container', 'port', 'terminal', 'management']","Henesey, Larry, Fredrik Wernstedt, and Paul Davidsson.","Proceedings of the 15th European conference on artificial intelligence, Workshop—agent technologies in logistics, Lyon. 2002.",2002
7,7,0,Analysing trade‐offs in container loading: combining load plan construction heuristics with agent‐based simulation,edSwUWCSIOMJ,https://onlinelibrary.wiley.com/doi/abs/10.1111/itor.12017,"In this paper we describe two operations research techniques, cutting and packing optimisation (CPO) and simulation, and present a multi‐methodology approach for analysing the trade‐offs between loading efficiency and various important practical …",exeter.ac.uk,https://ore.exeter.ac.uk/repository/bitstream/handle/10871/16373/MustafeeBischoff_Multimethodology%20CLA%20and%20ABS_FIRSTLOOK.pdf;sequence=2,23,16366241988249441401,4,16366241988249441401,"Mustafee, Navonil, and Eberhard E. Bischoff. ""Analysing trade‐offs in container loading: combining load plan construction heuristics with agent‐based simulation."" International Transactions in Operational Research 20.4 (2013): 471-491.","['analysing', 'trade‐offs', 'container', 'loading', 'combining', 'load', 'plan', 'construction', 'heuristics', 'agent‐based', 'simulation']","Mustafee, Navonil, and Eberhard E. Bischoff.",International Transactions in Operational Research 20.4 (2013): 471-491.,2013
8,8,0,Multiobjective optimization of a port-of-entry inspection policy,ZcMjKkz2bGEJ,https://ieeexplore.ieee.org/abstract/document/5159365/,"At the port-of-entry, containers are inspected through a specific sequence of sensor stations to detect the presence of radioactive materials, biological and chemical agents, and other illegal cargo. The inspection policy, which includes the sequence in which sensors are …",arxiv.org,https://arxiv.org/pdf/1505.05184,22,7020256726148694885,23,7020256726148694885,"Young, Christina M., et al. ""Multiobjective optimization of a port-of-entry inspection policy."" IEEE transactions on automation science and engineering 7.2 (2009): 392-400.","['multiobjective', 'optimization', 'portofentry', 'inspection', 'policy']","Young, Christina M., et al.",IEEE transactions on automation science and engineering 7.2 (2009): 392-400.,2009
9,9,0,Container Handling using multi-agent architecture,oyFvORrVEAQJ,https://link.springer.com/chapter/10.1007/978-3-540-72830-6_71,"Container terminals are essential intermodal interfaces in the global transportation network. Efficient container handling at terminals is important in reducing transportation costs and keeping shipping schedules. This paper discusses a multi-agent model to simulate, solve …",academia.edu,https://www.academia.edu/download/50379242/Container_Handling_Using_Multi-agent_Arc20161117-24677-1cgwrtd.pdf,19,292968284388532643,7,292968284388532643,"Kefi, Meriam, et al. ""Container Handling using multi-agent architecture."" KES International Symposium on Agent and Multi-Agent Systems: Technologies and Applications. Springer, Berlin, Heidelberg, 2007.","['container', 'handling', 'using', 'multiagent', 'architecture']","Kefi, Meriam, et al.","KES International Symposium on Agent and Multi-Agent Systems: Technologies and Applications. Springer, Berlin, Heidelberg, 2007.",2007
10,10,1,Sustainable supply chain management in the digitalisation era: The impact of Automated Guided Vehicles,FPH8hUi0mU4J,https://www.sciencedirect.com/science/article/pii/S0959652616316675,"Internationalization of markets and climate change introduce multifaceted challenges for modern supply chain (SC) management in the today's digitalisation era. On the other hand, Automated Guided Vehicle (AGV) systems have reached an age of maturity that allows for …",cam.ac.uk,https://www.repository.cam.ac.uk/bitstream/handle/1810/261679/Bechtsis_et_al-2016-Journal_of_Cleaner_Production-AM.pdf?sequence=1,141,5663756229973700884,10,5663756229973700884,"Bechtsis, Dimitrios, et al. ""Sustainable supply chain management in the digitalisation era: The impact of Automated Guided Vehicles."" Journal of Cleaner Production 142 (2017): 3970-3984.","['sustainable', 'supply', 'chain', 'management', 'digitalisation', 'impact', 'automated', 'guided', 'vehicles']","Bechtsis, Dimitrios, et al.",Journal of Cleaner Production 142 (2017): 3970-3984.,2017
11,11,1,Digitization in maritime logistics—What is there and what is missing?,S6M3V7m5TqUJ,https://www.tandfonline.com/doi/abs/10.1080/23311975.2017.1411066,"The global seaports are of pivotal importance for the world economy. Since 1990, global container traffic has grown by an average of 10% annually. Equally, the steady growth of ship sizes poses major logistical and technical problems worldwide. Given these facts …",tandfonline.com,https://www.tandfonline.com/doi/pdf/10.1080/23311975.2017.1411066,72,11911662270124893003,8,11911662270124893003,"Fruth, Markus, and Frank Teuteberg. ""Digitization in maritime logistics—What is there and what is missing?."" Cogent Business & Management 4.1 (2017): 1411066.","['digitization', 'maritime', 'logistics—what', 'missing']","Fruth, Markus, and Frank Teuteberg.",Cogent Business & Management 4.1 (2017): 1411066.,2017
12,12,1,An integrated scheduling method for AGV routing in automated container terminals,HpDUUovk0l0J,https://www.sciencedirect.com/science/article/pii/S0360835218304777,"The simultaneous scheduling of quay cranes (QCs), automated guided vehicles (AGVs), and yard cranes (YCs) in automated container terminals (ACTs) has been a critical problem. This paper proposes an integrated scheduling for handling equipment coordination and AGV …",no data,no data,48,6760717277677785118,2,6760717277677785118,"Yang, Yongsheng, et al. ""An integrated scheduling method for AGV routing in automated container terminals."" Computers & Industrial Engineering 126 (2018): 482-493.","['integrated', 'scheduling', 'method', 'agv', 'routing', 'automated', 'container', 'terminals']","Yang, Yongsheng, et al.",Computers & Industrial Engineering 126 (2018): 482-493.,2018
13,13,1,Energy efficiency in European ports: State-of-practice and insights on the way forward,wxxtxK3UHtMJ,https://www.mdpi.com/532128,"The changing energy landscape in Europe, marked with the development of the Energy Union in 2015, had a profound impact also on the European port sector. With European ports becoming key points of energy production, but also being prominent energy users …",mdpi.com,https://www.mdpi.com/2071-1050/11/18/4952/pdf,16,15212830434094030019,7,15212830434094030019,"Sdoukopoulos, Eleftherios, et al. ""Energy efficiency in European ports: State-of-practice and insights on the way forward."" Sustainability 11.18 (2019): 4952.","['energy', 'efficiency', 'european', 'ports', 'stateofpractice', 'insights', 'way', 'forward']","Sdoukopoulos, Eleftherios, et al.",Sustainability 11.18 (2019): 4952.,2019
14,14,1,A fuzzy AHP classification of container terminals,0qw-1drBWEoJ,https://link.springer.com/article/10.1057/s41278-019-00144-4,"This article proposes a methodology for the classification of container terminals aiming to identify groups of terminals with similar management characteristics. Based on physical and terminal operations data and the subjective judgment of experts in port management, we …",no data,no data,9,5357244902381890770,5,5357244902381890770,"Adenso-Díaz, B., N. García Álvarez, and J. A. Alba. ""A fuzzy AHP classification of container terminals."" Maritime Economics & Logistics 22.2 (2020): 218-238.","['fuzzy', 'ahp', 'classification', 'container', 'terminals']","Adenso-Díaz, B., N. García Álvarez, and J. A. Alba.",Maritime Economics & Logistics 22.2 (2020): 218-238.,2020
15,15,1,Industry 4.0 in the port and maritime industry: A literature review,FlSHqN_LJOoJ,https://www.sciencedirect.com/science/article/pii/S2452414X20300480,Ports and terminals have evolved and from the 2010s have entered into a fifth stage of evolution characterized by their digital transformation and alignment with Industry 4.0 practices. Co-operation among agents is a key element and integration not only involves …,no data,no data,17,16871834265502307350,2,16871834265502307350,"de la Peña Zarzuelo, Ignacio, María Jesús Freire Soeane, and Beatriz López Bermúdez. ""Industry 4.0 in the port and maritime industry: A literature review."" Journal of Industrial Information Integration (2020): 100173.","['industry', '40', 'port', 'maritime', 'industry', 'literature', 'review']","de la Peña Zarzuelo, Ignacio, María Jesús Freire Soeane, and Beatriz López Bermúdez.",Journal of Industrial Information Integration (2020): 100173.,2020
16,16,1,Strategic analysis of the automation of container port terminals through BOT (business observation tool),Ok8hKJ9p7WsJ,https://www.mdpi.com/632282,"The port system is immersed in a process of digital transformation towards the concept of Ports 4.0, under the new regulatory and connectivity requirements that are expected of them. As a result of the changes that the industrial revolution 4.0 is imposing, based on new …",mdpi.com,https://www.mdpi.com/2305-6290/4/1/3/pdf,9,7776988263832702778,5,7776988263832702778,"Camarero Orive, Alberto, et al. ""Strategic analysis of the automation of container port terminals through BOT (business observation tool)."" Logistics 4.1 (2020): 3.","['strategic', 'analysis', 'automation', 'container', 'port', 'terminals', 'bot', 'business', 'observation', 'tool']","Camarero Orive, Alberto, et al.",Logistics 4.1 (2020): 3.,2020
