title,year,citations,cited_by_url
The path to automation in an RTG terminal,2018,2,"https://scholar.google.com.tw/scholar?start=00&hl=en&as_sdt=2005&sciodt=0,5&cites=16534896223689554193&scipsc="
Simulation Methodology for Automation of Port Systems: Example of Container Terminal,2010,0,"https://scholar.google.com.tw/scholar?start=00&hl=en&as_sdt=2005&sciodt=0,5&cites=16534896223689554193&scipsc="
–Terminal Automation,0,0,"https://scholar.google.com.tw/scholar?start=00&hl=en&as_sdt=2005&sciodt=0,5&cites=16534896223689554193&scipsc="
A case study of automation management system of damaged container in the port gate,2017,4,"https://scholar.google.com.tw/scholar?start=00&hl=en&as_sdt=2005&sciodt=0,5&cites=4596659794880385803&scipsc="
INFORMATION TECHNOLOGY IN PORT CONTAINER TERMINAL: AUTOMATION TALLY SYSTEM IMPLEMENTED IN TANJUNG PRIOK PORT,0,0,"https://scholar.google.com.tw/scholar?start=00&hl=en&as_sdt=2005&sciodt=0,5&cites=4596659794880385803&scipsc="
Authentication Technologies of X-ray Inspection Image for Container Terminal Automation,2005,0,"https://scholar.google.com.tw/scholar?start=00&hl=en&as_sdt=2005&sciodt=0,5&cites=4596659794880385803&scipsc="
INFORMATION TECHNOLOGY IN PORT CONTAINER TERMINAL: AUTOMATION TALLY SYSTEM IMPLEMENTED IN PORT OF TANJUNG PRIOK,2017,0,"https://scholar.google.com.tw/scholar?start=00&hl=en&as_sdt=2005&sciodt=0,5&cites=4596659794880385803&scipsc="
A Study on the perception of the subjects about automated container terminal,2020,1,"https://scholar.google.com.tw/scholar?start=00&hl=en&as_sdt=2005&sciodt=0,5&cites=6875305704238226159&scipsc="
Correction to: Alignments between strategic content and process structure: the case of container terminal service process automation,2020,4,"https://scholar.google.com.tw/scholar?start=00&hl=en&as_sdt=2005&sciodt=0,5&cites=6875305704238226159&scipsc="
An approach for designing robotized marine container terminals,2004,94,"https://scholar.google.com.tw/scholar?start=00&hl=en&as_sdt=2005&sciodt=0,5&cites=3799742301806396339&scipsc="
Automated guided vehicle system for two container yard layouts,2004,187,"https://scholar.google.com.tw/scholar?start=00&hl=en&as_sdt=2005&sciodt=0,5&cites=8217195108581040783&scipsc="
Status and visions of automated container terminals,2005,5,"https://scholar.google.com.tw/scholar?start=00&hl=en&as_sdt=2005&sciodt=0,5&cites=8414746465210000671&scipsc="
An attention mechanism oriented hybrid CNN-RNN deep learning architecture of container terminal liner handling conditions prediction,2021,1,"https://scholar.google.com.tw/scholar?start=00&hl=en&as_sdt=2005&sciodt=0,5&cites=11432774322076554765&scipsc="
Information technology applied to container terminals automation,2012,0,"https://scholar.google.com.tw/scholar?start=00&hl=en&as_sdt=2005&sciodt=0,5&cites=11432774322076554765&scipsc="
MOCONT: a new system for container terminal monitoring and control,2001,13,"https://scholar.google.com.tw/scholar?start=00&hl=en&as_sdt=2005&sciodt=0,5&cites=6789769365928998058&scipsc="
Container terminal operation and operations research-a classification and literature review,2004,1733,"https://scholar.google.com.tw/scholar?start=00&hl=en&as_sdt=2005&sciodt=0,5&cites=5173368270763721788&scipsc="
Automation and Electric Drives,2020,0,"https://scholar.google.com.tw/scholar?start=00&hl=en&as_sdt=2005&sciodt=0,5&cites=5173368270763721788&scipsc="
3D Virtual and physical simulation of automated container terminal and analysis of impact on in land transportation,2000,37,"https://scholar.google.com.tw/scholar?start=00&hl=en&as_sdt=2005&sciodt=0,5&cites=7628090983132071213&scipsc="
Developing skills for terminal automation,0,0,"https://scholar.google.com.tw/scholar?start=00&hl=en&as_sdt=2005&sciodt=0,5&cites=7628090983132071213&scipsc="
